case_id,qid,category,human_gold,derived_ce,upstream_ce,tfidf,bm25,token_overlap,length_only,ref_S1,ref_S2_eff,ref_R_mapped,ref_composite_deployed
BM-023,10,misconception,0.1367,0.39599669,-0.41746652,0.12889843,16.63355987,0.07042254,18.00000000,0.34700000,0.30000000,0.28000000,0.29700000
BM-024,10,contradictory,0.14,0.45901006,0.30431592,0.39450458,29.23525471,0.18309859,26.00000000,0.51300000,0.50000000,0.37000000,0.43700000
BM-025,41,concise_correct,0.9033,0.46503627,2.33505273,0.57768000,44.50897090,0.27397260,29.00000000,0.57100000,0.75000000,0.37900000,0.52740000
BM-026,41,verbose_correct,0.9833,0.65035695,2.28001070,0.63795724,57.41461590,0.45205479,108.00000000,0.67300000,1.00000000,0.64300000,0.72270000
BM-027,41,partial_incomplete,0.6333,0.39245516,-0.00921056,0.40800471,25.80962562,0.13698630,13.00000000,0.62100000,0.45000000,0.27500000,0.40810000
BM-028,41,incorrect,0.06,0.34857053,-2.10099411,0.33251515,20.64496497,0.13698630,16.00000000,0.48600000,0.30000000,0.21200000,0.30400000
BM-029,41,verbose_wrong,0.0567,0.42960846,1.19896650,0.28027182,27.91077321,0.21917808,34.00000000,0.50300000,0.75000000,0.32800000,0.52200000
BM-030,41,keyword_stuffed,0.28,0.43638706,-1.01223326,0.38806751,29.91354702,0.12328767,15.00000000,0.54700000,0.75000000,0.33800000,0.60340000
BM-031,41,misconception,0.1567,0.41876286,-0.33439052,0.36219607,34.70787963,0.15068493,18.00000000,0.40200000,0.50000000,0.31300000,0.32160000
BM-032,41,paraphrase,0.7833,0.42895746,0.35997975,0.34885736,31.55771586,0.17808219,24.00000000,0.60100000,0.75000000,0.32700000,0.46620000
BM-033,7,concise_correct,0.9233,0.47131681,-2.32986236,0.20487369,29.77942346,0.27941176,43.00000000,0.13600000,0.00000000,0.38800000,0.21420000
BM-034,7,verbose_correct,0.9833,0.61710674,2.94685364,0.24546570,29.75269546,0.29411765,114.00000000,0.19800000,0.25000000,0.59600000,0.41510000
BM-035,7,suboptimal_correct,0.72,0.42491975,-3.88706827,0.17964729,22.59769829,0.17647059,26.00000000,0.19600000,0.00000000,0.32100000,0.19010000
BM-036,7,partial_incomplete,0.51,0.33058414,-3.68756866,0.20032290,24.65447809,0.16176471,21.00000000,0.13600000,0.15000000,0.18700000,0.00000000
BM-037,7,verbose_wrong,0.0967,0.44421032,0.54933202,0.18340794,23.55272484,0.23529412,41.00000000,0.09200000,0.00000000,0.34900000,0.18820000
BM-038,7,keyword_stuffed,0.33,0.40108627,-7.41121578,0.09527742,11.09806073,0.08823529,18.00000000,0.11900000,0.00000000,0.28700000,0.11150000
BM-039,7,misconception,0.0567,0.41337797,3.18577003,0.28973747,40.04287040,0.25000000,24.00000000,0.12100000,0.00000000,0.30500000,0.17060000
BM-040,7,contradictory,0.1667,0.38798609,-5.08935928,0.12430417,16.02034221,0.14705882,24.00000000,0.08900000,0.00000000,0.26900000,0.09770000
BM-041,15,concise_correct,0.9033,0.51199591,-0.17778556,0.07890141,22.08266106,0.14285714,38.00000000,0.07800000,0.00000000,0.44600000,0.23460000
BM-042,15,verbose_correct,0.9833,0.63618952,-1.02456868,0.11217887,22.12760265,0.28571429,124.00000000,0.15000000,0.00000000,0.62300000,0.39410000
BM-043,15,partial_incomplete,0.37,0.46814057,-3.96188998,0.05332950,12.98895010,0.08571429,23.00000000,0.05600000,0.00000000,0.38300000,0.19990000
BM-044,15,incorrect,0.1167,0.46984765,-5.39309502,0.09809106,15.31277666,0.12857143,26.00000000,0.05300000,0.00000000,0.38500000,0.20070000
BM-045,15,verbose_wrong,0.09,0.49137819,-2.68697834,0.09311746,17.71064380,0.17142857,34.00000000,-0.01000000,0.00000000,0.41600000,0.20660000
BM-046,15,keyword_stuffed,0.3,0.48460627,-0.87214178,0.05843297,17.80876442,0.10000000,17.00000000,0.03100000,0.00000000,0.40700000,0.20790000
BM-047,15,misconception,0.16,0.45685083,-4.31742668,0.04715618,11.17834173,0.07142857,18.00000000,0.01600000,0.00000000,0.36700000,0.18590000
BM-048,15,paraphrase,0.8533,0.48867691,-1.38692546,0.08166140,16.92549706,0.12857143,31.00000000,0.04200000,0.00000000,0.41200000,0.21260000
BM-049,22,concise_correct,0.91,0.52559030,-1.91871881,0.08371393,15.89954138,0.17460317,41.00000000,0.16500000,0.00000000,0.46500000,0.25730000
BM-050,22,verbose_correct,0.99,0.64640665,-0.23197898,0.12645236,19.74737649,0.30158730,131.00000000,0.19500000,0.00000000,0.63800000,0.37810000
BM-051,22,partial_incomplete,0.45,0.44017339,-1.72946239,0.09636175,13.35382009,0.14285714,18.00000000,0.11700000,0.00000000,0.34300000,0.18910000
BM-052,22,incorrect,0.0867,0.46004632,-2.12712383,0.03449771,5.47159933,0.06349206,19.00000000,0.19900000,0.00000000,0.37100000,0.21560000
BM-053,22,verbose_wrong,0.11,0.49430820,-1.68235350,0.06480906,9.92504644,0.14285714,36.00000000,0.11700000,0.00000000,0.42000000,0.22780000
BM-054,22,keyword_stuffed,0.35,0.49522287,0.05272363,0.04822617,9.11581388,0.09523810,19.00000000,0.12100000,0.00000000,0.42200000,0.22910000
BM-055,22,misconception,0.0667,0.44896609,-0.54225272,0.06321487,10.69922417,0.09523810,18.00000000,0.14100000,0.00000000,0.35600000,0.19900000
BM-056,22,contradictory,0.12,0.47922602,-0.84665656,0.13166535,17.09407573,0.17460317,22.00000000,0.13300000,0.00000000,0.39900000,0.21940000
BM-057,50,concise_correct,0.9133,0.36528936,-1.14060545,0.17863457,20.30705079,0.11458333,35.00000000,0.19300000,0.00000000,0.23600000,0.00000000
BM-058,50,verbose_correct,0.9833,0.54384834,-0.40752542,0.20208174,28.33823515,0.20833333,94.00000000,0.30700000,0.00000000,0.49100000,0.29170000
BM-059,50,partial_incomplete,0.61,0.31071305,-1.69478846,0.14655346,14.04821537,0.08333333,20.00000000,0.22300000,0.00000000,0.15800000,0.00000000
BM-060,50,incorrect,0.0567,0.29222471,-1.29178190,0.14117206,16.69883657,0.07291667,19.00000000,0.29800000,0.00000000,0.13200000,0.00000000
BM-061,50,verbose_wrong,0.0633,0.39630619,-0.63273638,0.15700403,21.97846012,0.12500000,35.00000000,0.15400000,0.00000000,0.28000000,0.11330000
BM-062,50,keyword_stuffed,0.3,0.35772145,-0.93223810,0.05758825,14.80230596,0.04166667,17.00000000,0.19000000,0.00000000,0.22500000,0.00000000
BM-063,50,misconception,0.11,0.30126476,-3.42257833,0.07093184,8.36597156,0.05208333,17.00000000,0.24000000,0.00000000,0.14500000,0.00000000
BM-064,50,paraphrase,0.88,0.40126374,-4.43334675,0.11624131,16.81707620,0.08333333,27.00000000,0.20000000,0.00000000,0.28800000,0.12380000
