item_id,question_id,topic,question,candidate_answer,score_0_to_1,rater_comments
BM-017,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"Breadth-first search traverses level by level using a FIFO queue. Push the root to the queue. While queue is non-empty, pop the front node, record its value, and push its non-null left and right children into the queue.",0.85,"Correct FIFO queue BFS logic, concise and complete."
BM-018,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"Level order traversal explores a tree hierarchy breadth-first, visiting all nodes at depth d before proceeding to depth d+1. This is implemented using a First-In-First-Out (FIFO) queue data structure. If the root is null, we return immediately. Otherwise, we enqueue the root node. In a while loop running while the queue is not empty, we determine the number of nodes in the current level. For each node in that level, we dequeue it, append its value to our level results, and enqueue its left child if non-null, followed by its right child if non-null. The FIFO property ensures shallower nodes are dequeued before deeper nodes, running in O(N) time and O(W) auxiliary space where W is max tree width.",0.95,"Thorough, correct, complete with complexity analysis."
BM-019,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,Level order traversal uses a queue to visit the nodes level by level starting from the root.,0.45,Correct general idea but lacks procedural mechanics.
BM-020,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,BFS uses a recursive function that dives down the left subtree to the deepest leaf before backtracking.,0.10,"Describes DFS, not BFS; does not answer the question asked."
BM-021,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"Breadth-first search on a binary tree is performed using a LIFO stack. We push the root node, then pop it and push its right child followed by its left child, recursively drilling down the leftmost path until a leaf is reached, then popping back up.",0.10,"Misidentifies BFS as stack-based leftmost-path traversal; this is DFS, not BFS."
BM-022,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,FIFO queue level order traversal breadth first search root enqueue dequeue left child right child depth width tree traversal.,0.30,Keyword stuffing; correct terms but no coherent explanation.
BM-023,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,BFS can be performed using simple recursion without any queue data structure because function call stacks are FIFO.,0.10,False claim that recursion/call stack is FIFO (it is LIFO); fundamental misconception.
BM-024,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"BFS uses a FIFO queue to visit nodes level by level, but instead of visiting children next, it visits the parent nodes of the root recursively.",0.10,Self-contradictory and incorrect (visiting parents of the root is not BFS).
BM-025,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,"A pointer in C is a variable that stores the memory address of another variable. It is declared with the base type followed by an asterisk, like int *ptr;.",0.85,"Correct, concise, complete definition and declaration syntax."
BM-026,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,"In C, a pointer is a distinct variable type whose value represents the memory address of another variable, array, or allocated memory block. Pointers provide direct memory access, enabling dynamic memory allocation, pass-by-reference semantics in functions, and efficient data structure manipulation. To declare a pointer, you specify the data type of the value being pointed to, followed by an asterisk dereference symbol and the pointer variable name, such as int *ptr; or char *str;. The address-of operator & is used to assign an address to the pointer (&variable), and the asterisk * is used as the dereference operator to read or write the value at that address (*ptr).",0.95,"Thorough, correct, and complete explanation of pointers."
BM-027,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,A pointer holds an address in memory. You declare it using an asterisk.,0.65,"Correct core idea (address, asterisk) but minimal, missing example/detail."
BM-028,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,A pointer is an integer variable that holds the total size of your program's executable code.,0.05,Completely incorrect definition of a pointer.
BM-029,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,A pointer in C is a special function that points to other functions in the operating system. You declare one by writing pointer function_name() and compiling with the -O3 flag to link memory tables.,0.05,Nonsensical and incorrect; pointers are not functions.
BM-030,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,Memory address pointer declaration asterisk int *p dereference operator address-of ampersand heap stack byte allocation.,0.30,Keyword stuffing; relevant terms but no coherent explanation.
BM-031,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,Declaring int *p allocates heap memory automatically for an integer without needing malloc or an existing variable address.,0.15,Misconception: declaring int *p does not allocate memory automatically.
BM-032,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,"Pointers hold memory locations of objects rather than direct values. In C, writing int *p creates a pointer capable of holding an integer address.",0.70,"Correct core concept, but omits address-of (&) usage and other minor details."
BM-033,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"This is the Fibonacci sequence. The number of ways to reach step n is dp[n] = dp[n-1] + dp[n-2], with base cases dp[1] = 1 and dp[2] = 2. We can compute this iteratively in O(N) time and O(1) space using two variables.",0.88,"Correct recurrence, base cases, and O(N)/O(1) optimization; concise and complete."
BM-034,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"The climbing stairs problem models optimal substructure and overlapping subproblems. To reach step n, you can arrive either from step n-1 by taking a 1-step or from step n-2 by taking a 2-step. Therefore, total distinct ways satisfies the recurrence relation ways(n) = ways(n-1) + ways(n-2). The base cases are ways(1) = 1 (only one 1-step) and ways(2) = 2 (1+1 or 2). A naive recursive solution exhibits O(2^N) exponential time due to recomputing identical states. By applying bottom-up tabulation or dynamic programming, we compute ways from 3 to n iteratively in O(N) time. Furthermore, since we only need the prior two states, we optimize auxiliary memory to O(1) by maintaining two scalar variables.",0.95,"Thorough, correct, complete with naive vs optimized complexity analysis."
BM-035,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,Use simple recursion: ways(n) = ways(n-1) + ways(n-2) with base cases 1 and 2. This is correct in logic but takes exponential O(2^n) time without memoization.,0.72,"Correct recurrence and base cases; suboptimal exponential complexity, but this is explicitly and correctly acknowledged."
BM-036,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,You can use dynamic programming because the number of ways to get to step n depends on the two previous steps.,0.45,Correct general direction but no step-by-step recurrence or procedure given.
BM-037,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"To solve climbing stairs, generate a complete binary tree of all step paths, convert the tree to an adjacency matrix, and run Dijkstra's shortest path algorithm with weights equal to 1 or 2 to find the total paths in O(V^2) time.",0.08,"Nonsensical, overengineered approach unrelated to the actual problem."
BM-038,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,Dynamic programming recurrence relation dp[n-1] + dp[n-2] base cases memoization bottom up tabulation Fibonacci O(N) time O(1) space.,0.35,"Keyword stuffing capped; correct recurrence shown among the keywords, but no coherent explanation."
BM-039,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"Because you can take 1 or 2 steps, the total number of ways to climb n stairs is always n factorial divided by 2.",0.05,Incorrect closed-form formula; does not solve the problem.
BM-040,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"The recurrence is dp[n] = dp[n-1] + dp[n-2], but to compute it you must multiply dp[n-1] by dp[n-2] and divide by the step size.",0.15,States correct recurrence but then contradicts it with an incorrect computation rule.
BM-041,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"In a directed graph, DFS detects cycles by maintaining a recursion stack state. Nodes are marked: unvisited, currently visiting (in stack), or visited. If DFS encounters a neighbor marked as currently visiting, a back-edge exists, indicating a cycle.",0.85,"Correct three-state DFS cycle detection logic, concise and complete."
BM-042,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"Cycle detection in directed graphs requires distinguishing back-edges from cross-edges or forward-edges. We implement DFS using a three-state coloring scheme: White (unvisited), Gray (currently visiting in the active recursion call stack), and Black (fully processed and exited). We iterate through all vertices to handle disconnected components. When exploring a vertex v, we mark it Gray. For each directed neighbor u of v, if u is Gray, we have found an edge pointing back to an ancestor in the active recursion stack, which conclusively proves a cycle exists. If u is White, we recursively explore it. After inspecting all outgoing edges from v, we mark v Black. Time complexity is O(V + E) and space complexity is O(V) for the recursion stack and state array.",0.95,"Thorough, correct, complete with complexity analysis."
BM-043,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"We run DFS and keep track of visited nodes. If we visit a node that was already visited, there might be a cycle.",0.30,Global 'already visited' check is a known misconception for directed graphs; doesn't distinguish current-path ancestors from fully processed nodes.
BM-044,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"Count the total number of edges in the graph. If E > V, the directed graph is guaranteed to have a cycle regardless of edge directions.",0.10,E > V is not a valid or general cycle-detection criterion; doesn't answer how DFS detects cycles.
BM-045,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"To detect cycles in a directed graph, compute the topological sort using BFS Kahn's algorithm, but instead of tracking in-degrees, compute all shortest paths with Floyd-Warshall and check if any diagonal element is positive.",0.08,Nonsensical combination of unrelated algorithms; does not describe DFS-based cycle detection.
BM-046,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,DFS directed graph cycle detection recursion stack three colors white gray black back-edge visiting visited O(V+E) time.,0.35,Keyword stuffing capped; correct three-color/back-edge terms present but no coherent explanation.
BM-047,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"In a directed graph, encountering any previously visited node always indicates a cycle, exactly like in undirected graphs.",0.15,"Misconception: a directed graph requires distinguishing active-path nodes from finished nodes, not just 'previously visited'."
BM-048,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"Cycle detection in directed networks tracks vertices on the current path. When DFS reaches a vertex that is already an active ancestor on the current search path, a cycle is confirmed.",0.75,"Correct core idea (active ancestor on current path = cycle), concise but slightly informal/less detailed than optimal."
BM-049,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search requires the input array to be sorted. It maintains low and high pointers, computes mid = low + (high - low)/2, compares array[mid] to the target, and halves the search space until found or exhausted in O(log N) time.",0.85,"Correct binary search logic and complexity, concise and complete."
BM-050,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search is a divide-and-conquer search algorithm with a strict precondition: the underlying elements must be sorted in monotonic order (or possess a monotonic predicate). We define search boundaries low = 0 and high = n - 1. In each iteration of a while loop (low <= high), we compute mid = low + (high - low) / 2 to prevent 32-bit integer overflow. If array[mid] == target, we return the index. If array[mid] < target, the target must lie in the right half, so we update low = mid + 1. If array[mid] > target, the target must lie in the left half, so we update high = mid - 1. Because each step discards half the remaining candidate elements, time complexity is O(log n) and space complexity is O(1).",0.97,"Thorough, correct, complete, including overflow-safe mid calculation."
BM-051,22,Binary Search,Explain the binary search algorithm and its preconditions.,Binary search splits the array in half each time to find a target value in O(log N) time.,0.40,"Describes the halving mechanism but omits the sortedness precondition entirely, which the question explicitly asks for."
BM-052,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search starts at index 0 and inspects every second element (0, 2, 4, ...) until finding the target.",0.08,"Describes a linear stride scan, not binary search."
BM-053,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search can operate on completely random unsorted data by first calculating the hash code of every element, inserting them into a binary search tree in O(N^2) time, and performing in-order traversal to locate the element.",0.08,Nonsensical and incorrect approach; does not perform binary search.
BM-054,22,Binary Search,Explain the binary search algorithm and its preconditions.,Binary search sorted array monotonic precondition divide and conquer low high mid halving O(log N) logarithmic time integer overflow.,0.35,Keyword stuffing capped; correct relevant terms present but no coherent explanation.
BM-055,22,Binary Search,Explain the binary search algorithm and its preconditions.,Binary search works on any array regardless of order because it automatically reorders the elements during the search.,0.08,Misconception: binary search does not work on unsorted data nor auto-reorders it.
BM-056,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search halves the search space in O(log N) time, but it only works if the array is completely unordered and unsorted.",0.15,Self-contradictory: correctly describes halving but then reverses the sortedness precondition.
BM-057,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition occurs when two or more threads concurrently access shared data without synchronization and at least one modifies it, leading to unpredictable outcomes. It is prevented using mutex locks, semaphores, or atomic operations.",0.85,"Correct, concise, complete definition and prevention methods."
BM-058,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition is a concurrency bug that arises when two or more threads execute concurrently, access shared mutable state simultaneously, and at least one thread performs a write operation. Because thread scheduling is non-deterministic and managed by the operating system kernel, the final program state depends on the exact interleaving of instruction execution. This leads to subtle, intermittent bugs like lost updates, dirty reads, or data corruption. Race conditions are prevented by enforcing mutual exclusion around critical sections. Primary mechanisms include mutex locks (pthread_mutex), read-write locks, semaphores, and atomic hardware primitives (e.g. compare-and-swap).",0.95,"Thorough, correct, complete explanation of causes and prevention."
BM-059,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,A race condition happens when threads run at the same time and overwrite each other. You fix it with locks.,0.55,"Correct core idea but lacks mechanism detail (mutual exclusion, critical sections)."
BM-060,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition is when your computer's CPU clock runs faster than your RAM bus speed, causing memory drops.",0.05,Completely incorrect definition (confuses clock speed mismatch with race conditions).
BM-061,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition occurs when threads compete for bandwidth across network interfaces. To prevent it, increase the thread priority to real-time and disable interrupt handling in user space so threads run sequentially without OS interference.",0.05,Incorrect definition (network bandwidth) and incorrect/unsafe prevention advice.
BM-062,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,Race condition multithreading shared mutable state concurrent write critical section mutual exclusion mutex lock semaphore atomic operations.,0.35,Keyword stuffing capped; correct relevant terms present but no coherent explanation.
BM-063,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,Declaring a shared variable as volatile in C/C++ completely eliminates race conditions and makes all operations atomic.,0.10,Misconception: volatile does not make operations atomic or eliminate race conditions.
BM-064,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"When multiple threads concurrently manipulate shared memory with unsynchronized writes, the resulting values depend on execution timing. Mutexes and atomic primitives ensure exclusive access, preventing the race.",0.82,"Correct, concise, essentially complete explanation of cause and prevention."
