case_id,qid,topic,category,human_gold_score,model_score,signed_error,absolute_error,error_severity,error_direction,gold_method,S1,S2,R,bonus,penalty,grade,weakest_gap
BM-032,41,C Pointers & Memory,paraphrase,0.7833,0.4662,-0.3171,0.3171,substantial,model_underestimation,mean_of_three,0.601,0.75,0.327,0.09,0.14,Average,C_Programming core principle
BM-001,1,Arrays & Hashing,concise_correct,0.9167,0.6,-0.3167,0.3167,substantial,model_underestimation,mean_of_three,0.405,0.75,0.607,0.06,0.07,Good,single pass iteration through the array with constant-time hash map lookup at each step
BM-003,1,Arrays & Hashing,suboptimal_correct,0.73,0.4173,-0.3127,0.3127,substantial,model_underestimation,mean_of_three,0.238,0.5,0.433,0.06,0.07,Average,Arrays core principle
BM-022,10,Trees & BFS,keyword_stuffed,0.3,0.6024,0.3024,0.3024,substantial,model_overestimation,expert_adjudication,0.546,0.75,0.516,0.0,0.0,Good,Trees core principle
BM-062,50,OS & Concurrency,keyword_stuffed,0.3,0.0,-0.3,0.3,substantial,model_underestimation,expert_adjudication,0.19,0.0,0.225,0.0,0.2,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-024,10,Trees & BFS,contradictory,0.14,0.437,0.297,0.297,substantial,model_overestimation,mean_of_three,0.513,0.5,0.37,0.0,0.0,Average,FIFO ordering guarantees that all nodes at one depth are dequeued before any node at the next depth; continue until the queue is empty
BM-021,10,Trees & BFS,verbose_wrong,0.1133,0.4088,0.2955,0.2955,substantial,model_overestimation,mean_of_three,0.391,0.25,0.525,0.0,0.0,Average,"dequeue the front node, process it, then enqueue left and right children in that order"
BM-014,3,Linked Lists,keyword_stuffed,0.3,0.5937,0.2937,0.2937,substantial,model_overestimation,expert_adjudication,0.338,0.75,0.561,0.0,0.0,Average,LinkedLists core principle
BM-051,22,Binary Search,partial_incomplete,0.45,0.1891,-0.2609,0.2609,substantial,model_underestimation,expert_adjudication,0.117,0.0,0.343,0.0,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-026,41,C Pointers & Memory,verbose_correct,0.9833,0.7227,-0.2606,0.2606,substantial,model_underestimation,mean_of_three,0.673,1.0,0.643,0.09,0.14,Good,"Misconception: A pointer holds an address, not the value — confusing *p (value) with p (address) is the fundamental error"
BM-028,41,C Pointers & Memory,incorrect,0.06,0.304,0.244,0.244,substantial,model_overestimation,mean_of_three,0.486,0.5,0.212,0.09,0.07,Poor,address-of operator & obtains the address of a variable; dereferencing operator * accesses the value at the stored address
BM-005,1,Arrays & Hashing,verbose_wrong,0.1433,0.386,0.2427,0.2427,substantial,model_overestimation,mean_of_three,0.293,0.25,0.509,0.0,0.0,Poor,single pass iteration through the array with constant-time hash map lookup at each step
BM-027,41,C Pointers & Memory,partial_incomplete,0.6333,0.4081,-0.2252,0.2252,substantial,model_underestimation,mean_of_three,0.621,0.75,0.275,0.09,0.07,Average,C_Programming core principle
BM-016,3,Linked Lists,paraphrase,0.86,0.6401,-0.2199,0.2199,substantial,model_underestimation,mean_of_three,0.382,1.0,0.466,0.0,0.0,Good,Reasoning depth and mechanistic explanation
BM-038,7,Dynamic Programming,keyword_stuffed,0.33,0.1115,-0.2185,0.2185,substantial,model_underestimation,expert_adjudication,0.119,0.0,0.287,0.0,0.05,Poor,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-008,1,Arrays & Hashing,contradictory,0.1867,0.3707,0.184,0.184,moderate,model_overestimation,mean_of_three,0.281,0.5,0.307,0.0,0.0,Poor,single pass iteration through the array with constant-time hash map lookup at each step
BM-043,15,Graphs & DFS,partial_incomplete,0.37,0.1999,-0.1701,0.1701,moderate,model_underestimation,mean_of_three,0.056,0.0,0.383,0.0,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
BM-017,10,Trees & BFS,concise_correct,0.9067,0.7396,-0.1671,0.1671,moderate,model_underestimation,mean_of_three,0.542,1.0,0.617,0.0,0.0,Good,None — comprehensive answer
BM-031,41,C Pointers & Memory,misconception,0.1567,0.3216,0.1649,0.1649,moderate,model_overestimation,mean_of_three,0.402,0.5,0.313,0.0,0.07,Poor,address-of operator & obtains the address of a variable; dereferencing operator * accesses the value at the stored address
BM-018,10,Trees & BFS,verbose_correct,0.9833,0.8185,-0.1648,0.1648,moderate,model_underestimation,mean_of_three,0.611,1.0,0.754,0.0,0.0,Excellent,None — comprehensive answer
BM-023,10,Trees & BFS,misconception,0.1367,0.297,0.1603,0.1603,moderate,model_overestimation,mean_of_three,0.347,0.5,0.28,0.0,0.0,Poor,FIFO ordering guarantees that all nodes at one depth are dequeued before any node at the next depth; continue until the queue is empty
BM-012,3,Linked Lists,incorrect,0.0833,0.2333,0.15,0.15,moderate,model_overestimation,mean_of_three,0.175,0.0,0.414,0.0,0.0,Poor,"next node is always saved before curr.next is overwritten, preventing loss of the remaining list"
BM-002,1,Arrays & Hashing,verbose_correct,0.98,0.8359,-0.1441,0.1441,moderate,model_underestimation,mean_of_three,0.553,1.0,0.686,0.06,0.0,Excellent,None — comprehensive answer
BM-007,1,Arrays & Hashing,misconception,0.06,0.203,0.143,0.143,moderate,model_overestimation,mean_of_three,0.257,0.0,0.329,0.0,0.0,Poor,single pass iteration through the array with constant-time hash map lookup at each step
BM-055,22,Binary Search,misconception,0.0667,0.199,0.1323,0.1323,moderate,model_overestimation,mean_of_three,0.141,0.0,0.356,0.0,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-052,22,Binary Search,incorrect,0.0867,0.2156,0.1289,0.1289,moderate,model_overestimation,mean_of_three,0.199,0.0,0.371,0.0,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-006,1,Arrays & Hashing,keyword_stuffed,0.28,0.408,0.128,0.128,moderate,model_overestimation,expert_adjudication,0.316,0.5,0.371,0.0,0.0,Average,single pass iteration through the array with constant-time hash map lookup at each step
BM-054,22,Binary Search,keyword_stuffed,0.35,0.2291,-0.1209,0.1209,moderate,model_underestimation,expert_adjudication,0.121,0.0,0.422,0.0,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-053,22,Binary Search,verbose_wrong,0.11,0.2278,0.1178,0.1178,minor,model_overestimation,mean_of_three,0.117,0.0,0.42,0.0,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-020,10,Trees & BFS,incorrect,0.1167,0.0,-0.1167,0.1167,minor,model_underestimation,mean_of_three,0.319,0.0,0.243,0.0,0.2,Poor,"dequeue the front node, process it, then enqueue left and right children in that order"
BM-045,15,Graphs & DFS,verbose_wrong,0.09,0.2066,0.1166,0.1166,minor,model_overestimation,mean_of_three,-0.01,0.0,0.416,0.0,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
BM-039,7,Dynamic Programming,misconception,0.0567,0.1706,0.1139,0.1139,minor,model_overestimation,mean_of_three,0.121,0.0,0.305,0.0,0.0,Poor,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-010,3,Linked Lists,verbose_correct,0.9833,0.8709,-0.1124,0.1124,minor,model_underestimation,mean_of_three,0.478,1.0,0.838,0.03,0.0,Excellent,None — comprehensive answer
BM-063,50,OS & Concurrency,misconception,0.11,0.0,-0.11,0.11,minor,model_underestimation,mean_of_three,0.24,0.0,0.145,0.0,0.2,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-011,3,Linked Lists,partial_incomplete,0.5067,0.4041,-0.1026,0.1026,minor,model_underestimation,mean_of_three,0.273,0.5,0.376,0.0,0.0,Average,LinkedLists core principle
BM-019,10,Trees & BFS,partial_incomplete,0.55,0.4479,-0.1021,0.1021,minor,model_underestimation,expert_adjudication,0.549,0.5,0.381,0.0,0.0,Average,FIFO ordering guarantees that all nodes at one depth are dequeued before any node at the next depth; continue until the queue is empty
BM-056,22,Binary Search,contradictory,0.12,0.2194,0.0994,0.0994,minor,model_overestimation,mean_of_three,0.133,0.0,0.399,0.0,0.0,Poor,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge
BM-046,15,Graphs & DFS,keyword_stuffed,0.3,0.2079,-0.0921,0.0921,minor,model_underestimation,expert_adjudication,0.031,0.0,0.407,0.0,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
BM-037,7,Dynamic Programming,verbose_wrong,0.0967,0.1882,0.0915,0.0915,minor,model_overestimation,mean_of_three,0.092,0.0,0.349,0.0,0.0,Poor,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-044,15,Graphs & DFS,incorrect,0.1167,0.2007,0.084,0.084,minor,model_overestimation,mean_of_three,0.053,0.0,0.385,0.0,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
BM-040,7,Dynamic Programming,contradictory,0.1667,0.0977,-0.069,0.069,minor,model_underestimation,mean_of_three,0.089,0.0,0.269,0.0,0.05,Poor,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently
BM-060,50,OS & Concurrency,incorrect,0.0567,0.0,-0.0567,0.0567,minor,model_underestimation,mean_of_three,0.298,0.0,0.132,0.0,0.2,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-061,50,OS & Concurrency,verbose_wrong,0.0633,0.1133,0.05,0.05,negligible,concordant,mean_of_three,0.154,0.0,0.28,0.0,0.05,Poor,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index
BM-047,15,Graphs & DFS,misconception,0.16,0.1859,0.0259,0.0259,negligible,concordant,mean_of_three,0.016,0.0,0.367,0.0,0.0,Poor,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen"
