case_id,qid,topic,category,human_gold_score,gold_method,model_score,S1,S2,S2_eff,R,bonus,penalty,final_score,grade,mandatory_pass,weakest_gap,evaluation_status
BM-029,41,C Pointers & Memory,verbose_wrong,0.0567,mean_of_three,0.522,0.503,0.75,0.75,0.328,0.09,0.07,0.522,Average,False,C_Programming core principle,SUCCESS
BM-030,41,C Pointers & Memory,keyword_stuffed,0.28,expert_adjudication,0.6034,0.547,0.75,0.75,0.338,0.09,0.0,0.6034,Good,True,C_Programming core principle,SUCCESS
BM-031,41,C Pointers & Memory,misconception,0.1567,mean_of_three,0.3216,0.402,0.5,0.5,0.313,0.0,0.07,0.3216,Poor,False,address-of operator & obtains the address of a variable; dereferencing operator * accesses the value at the stored address,SUCCESS
BM-032,41,C Pointers & Memory,paraphrase,0.7833,mean_of_three,0.4662,0.601,0.75,0.75,0.327,0.09,0.14,0.4662,Average,True,C_Programming core principle,SUCCESS
BM-033,7,Dynamic Programming,concise_correct,0.9233,mean_of_three,0.2142,0.136,0.0,0.0,0.388,0.0,0.0,0.2142,Poor,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-034,7,Dynamic Programming,verbose_correct,0.9833,mean_of_three,0.4151,0.198,0.25,0.25,0.596,0.0,0.0,0.4151,Average,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-035,7,Dynamic Programming,suboptimal_correct,0.72,mean_of_three,0.1901,0.196,0.0,0.0,0.321,0.0,0.0,0.1901,Poor,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-036,7,Dynamic Programming,partial_incomplete,0.51,mean_of_three,0.0,0.136,0.25,0.15,0.187,0.0,0.2,0.0,Poor,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-037,7,Dynamic Programming,verbose_wrong,0.0967,mean_of_three,0.1882,0.092,0.0,0.0,0.349,0.0,0.0,0.1882,Poor,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-038,7,Dynamic Programming,keyword_stuffed,0.33,expert_adjudication,0.1115,0.119,0.0,0.0,0.287,0.0,0.05,0.1115,Poor,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-039,7,Dynamic Programming,misconception,0.0567,mean_of_three,0.1706,0.121,0.0,0.0,0.305,0.0,0.0,0.1706,Poor,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-040,7,Dynamic Programming,contradictory,0.1667,mean_of_three,0.0977,0.089,0.0,0.0,0.269,0.0,0.05,0.0977,Poor,False,transpose iterates the upper triangle only (i < j) to avoid double-swapping; row reversal iterates each row independently,SUCCESS
BM-041,15,Graphs & DFS,concise_correct,0.9033,mean_of_three,0.2346,0.078,0.0,0.0,0.446,0.0,0.0,0.2346,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-042,15,Graphs & DFS,verbose_correct,0.9833,mean_of_three,0.3941,0.15,0.0,0.0,0.623,0.06,0.0,0.3941,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-043,15,Graphs & DFS,partial_incomplete,0.37,mean_of_three,0.1999,0.056,0.0,0.0,0.383,0.0,0.0,0.1999,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-044,15,Graphs & DFS,incorrect,0.1167,mean_of_three,0.2007,0.053,0.0,0.0,0.385,0.0,0.0,0.2007,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-045,15,Graphs & DFS,verbose_wrong,0.09,mean_of_three,0.2066,-0.01,0.0,0.0,0.416,0.0,0.0,0.2066,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-046,15,Graphs & DFS,keyword_stuffed,0.3,expert_adjudication,0.2079,0.031,0.0,0.0,0.407,0.0,0.0,0.2079,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-047,15,Graphs & DFS,misconception,0.16,mean_of_three,0.1859,0.016,0.0,0.0,0.367,0.0,0.0,0.1859,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-048,15,Graphs & DFS,paraphrase,0.8533,mean_of_three,0.2126,0.042,0.0,0.0,0.412,0.0,0.0,0.2126,Poor,False,"when array[mid]==0, swap with low and advance both; when array[mid]==2, swap with high and decrement high without advancing mid because the new element at mid is unseen",SUCCESS
BM-049,22,Binary Search,concise_correct,0.91,mean_of_three,0.2573,0.165,0.0,0.0,0.465,0.0,0.0,0.2573,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-050,22,Binary Search,verbose_correct,0.99,mean_of_three,0.3781,0.195,0.0,0.0,0.638,0.03,0.0,0.3781,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-051,22,Binary Search,partial_incomplete,0.45,expert_adjudication,0.1891,0.117,0.0,0.0,0.343,0.0,0.0,0.1891,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-052,22,Binary Search,incorrect,0.0867,mean_of_three,0.2156,0.199,0.0,0.0,0.371,0.0,0.0,0.2156,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-053,22,Binary Search,verbose_wrong,0.11,mean_of_three,0.2278,0.117,0.0,0.0,0.42,0.0,0.0,0.2278,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-054,22,Binary Search,keyword_stuffed,0.35,expert_adjudication,0.2291,0.121,0.0,0.0,0.422,0.0,0.0,0.2291,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-055,22,Binary Search,misconception,0.0667,mean_of_three,0.199,0.141,0.0,0.0,0.356,0.0,0.0,0.199,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-056,22,Binary Search,contradictory,0.12,mean_of_three,0.2194,0.133,0.0,0.0,0.399,0.0,0.0,0.2194,Poor,False,BFS uses a queue to process nodes level by level; parent information is stored for each node to distinguish the tree edge from a back edge,SUCCESS
BM-057,50,OS & Concurrency,concise_correct,0.9133,mean_of_three,0.0,0.193,0.0,0.0,0.236,0.0,0.2,0.0,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
BM-058,50,OS & Concurrency,verbose_correct,0.9833,mean_of_three,0.2917,0.307,0.0,0.0,0.491,0.0,0.0,0.2917,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
BM-059,50,OS & Concurrency,partial_incomplete,0.61,mean_of_three,0.0,0.223,0.0,0.0,0.158,0.0,0.2,0.0,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
BM-060,50,OS & Concurrency,incorrect,0.0567,mean_of_three,0.0,0.298,0.0,0.0,0.132,0.0,0.2,0.0,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
BM-061,50,OS & Concurrency,verbose_wrong,0.0633,mean_of_three,0.1133,0.154,0.0,0.0,0.28,0.0,0.05,0.1133,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
BM-062,50,OS & Concurrency,keyword_stuffed,0.3,expert_adjudication,0.0,0.19,0.0,0.0,0.225,0.0,0.2,0.0,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
BM-063,50,OS & Concurrency,misconception,0.11,mean_of_three,0.0,0.24,0.0,0.0,0.145,0.0,0.2,0.0,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
BM-064,50,OS & Concurrency,paraphrase,0.88,mean_of_three,0.1238,0.2,0.0,0.0,0.288,0.0,0.05,0.1238,Poor,False,null pointer dereference: reading or writing through a null pointer accesses address 0 which is protected; buffer overflow: accessing array[n] or beyond the last valid index,SUCCESS
