paper,metric,reported_value,independently_computed_value,status,source_file,notes
Paper 1,regression_suite,213 passed / 1 skipped / 0 failed of 214,post_p1_regression_tests.md reports 213 collected / 213 passed / 0 skipped; current collection 226,UNVERIFIABLE,research/results/post_p1_regression_tests.md,No source for '214 / 1 skipped' found; 78 targeted tests passed in this audit (validator; paper3 blockers; multiagent failures; rl env; persistence; orchestrator)
Paper 3,fixed_baseline_MAE,1.200,1.200 (replay) and (2+1.5+0+1+1.5)/5=1.200,MATCH,paper3_baseline_results.csv,Deterministic by construction; only 4 unique session values among 25
Paper 3,heuristic_MAE,0.473,0.473 (replay),MATCH,paper3_baseline_results.csv,
Paper 3,ppo_guard_seed_MAEs,0.687/0.673/0.676/0.673/0.676,identical via frozen-checkpoint replay,MATCH,paper3_seed_results.csv,Replay of evaluation only (no training); outputs kept in scratchpad
Paper 3,ppo_guard_mean_sd,0.677 +/- 0.006,0.6772 / 0.0055 (ddof=1),MATCH,paper3_seed_results.csv,SD of guarded outcomes; raw (unguarded) PPO cross-seed SD = 0.161
Paper 3,ppo_raw_5seed_MAE,0.958,0.958 (1.127/0.804/1.138/0.855/0.866),MATCH,paper3_ablation_results.csv,
Paper 3,checkpoint_sha256 x5,manifest hashes,all five identical,MATCH,research/experiments/paper3/checkpoints/seed_*/ppo_final.zip,
Paper 3,frozen_result_hashes x8,PAPER3_FINAL_FREEZE.md,all eight identical,MATCH,research/results/paper3/*,
Paper 3,cohen_d,~0.87,0.865 (ddof=0 pooled; seed-123 sessions) / 0.848 (ddof=1) / 0.743 paired dz,ROUNDING_DIFFERENCE,paper3_baseline_results.csv,0.87 uses seed 123 (0.673) not the 5-seed mean 0.677 (0.859). Only 5 personas: persona-level paired t p=0.204
Paper 3,p_value,<0.001,paired t p=0.00108; Wilcoxon p=0.0040 (25 pseudo-replicated sessions),MISMATCH,replay,Not below 0.001 and depends on treating 25 sessions as independent; no script computes this p-value
Paper 3,historical_artifact d=87.41,87.41 (t=-195.46),87.41 (= 0.523/0.006),EXPLAINABLE_DIFFERENCE,paper3_raw_results.json,Denominator is SD of 5 seed means
Paper 3,PPO_volatility_vs_heuristic,0.088 vs 0.160 (lower),5-seed mean 0.186 (seeds: 0.268/0.088/0.208/0.240/0.128) > heuristic 0.160; 2 of 5 seeds below,MISMATCH,paper3_seed_results.csv,0.088 is seed 123 only (the lowest-volatility seed). Guardrails raise volatility 0.078 -> 0.186 (raw JSON volatility_reduction_pct = -140.21)
Paper 3,oscillation_rate,PPO 0.027 (seed 123) vs heuristic 0.000,5-seed mean 0.160 vs heuristic 0.000,EXPLAINABLE_DIFFERENCE,paper3_seed_results.csv,
Paper 3,out_of_bounds_transitions,0,0 actual (difficulty is np.clip'd inside the simulator for ALL policies incl. Fixed/Heuristic/raw PPO); attempted pre-clip violations under guardrails = 232 (26+71+41+33+61),MISMATCH,research/scripts/execute_paper3_study.py:424-427,Report says guarded violations = 0 (hard-coded literals at lines 774/886/895/951); measured value nonzero and often larger than raw PPO
Paper 3,guardrail_interventions,563 (45.0% of turns),563 rule firings / 1250 turns = 45.0% - but only 99 turns (7.9%) changed the PPO action; 464 firings were no-ops,EXPLAINABLE_DIFFERENCE,replay,'Interventions' counts was_overridden flag even when guardrail action equals PPO action
Paper 3,ablation_table_row_PPO_guardrails_5seeds,"interventions 112; oscillation 0.187; violations 0","112 and 0.187 are the historical-mismatch row values (leaked loop variable cond_sessions, script lines 763-774); correct: 563 / 0.160 / 232",MISMATCH,research/results/paper3/paper3_ablation_results.csv,Frozen CSV disagrees with report table (report shows 563). Raw-PPO row also carries osc 0.187 / violations 46 from the same leaked variable
Paper 3,dim4_ablation_identical_0.673,0.673 x3,0.673 x3 with identical volatility/oscillation/interventions,MATCH,replay,Under guardrails final actions identical in 250/250 turns
Paper 3,dim4_mechanism (policy insensitive to s4),'s4 does not flip decisions',raw (unguarded) zero-progress run: MAE 0.804 -> 0.956; 23/250 raw actions differ; guarded trajectories: 0/250 raw differences,PARTIALLY_SUPPORTED,replay,Mismatch-checkpoint vs canonical: 10 raw differences in guarded run all under an active guardrail (report claim verified). Aggregate equality is produced by guardrail masking + near-constant policy
Paper 3,learned_policy_contribution,PPO+guardrails 0.673-0.687,Always-Same + guardrails = 0.673 MAE (vol 0.080 osc 0.000),AUDIT_DIAGNOSTIC,replay,A constant 'Same' policy plus guardrails matches guarded PPO; PPO adds no measurable tracking benefit. Diagnostic only; not frozen evidence
Paper 3,sensitivity_sweep_narrative,perf<0.40 -> Easier; perf>0.70 -> Harder; hesitation>0.65 suppresses Harder,stored sweep: s0_perf all Same; s2 s3 s4 all Same; only avg_perf<=0.1 -> Easier and diff<=0.5 -> Harder,MISMATCH,research/results/paper3/paper3_sensitivity_results.csv,Report Section 5 narrative not supported by its own sweep
Paper 3,convergence,plateau within 20000 steps,rolling reward 12-16k ~0.16-0.18 -> >=20k ~0.18-0.20 (still rising slightly; 12 rollouts total),EXPLAINABLE_DIFFERENCE,paper3_training_curves.csv,No NaN/Inf; use 'approximately stable' wording only
Paper 3,train_vs_eval_env,aligned,training env: T=15 steps continuous difficulty 0.1-1.0 step 0.1 random start 0.3-0.7; evaluation loop: T=10 steps difficulty 1-5 step 1 start 3,MISMATCH,rl/env/interview_env.py vs execute_paper3_study.py,Raw eval actions rarely 'Harder' (0-20/250) vs ~29% in training logs
Paper 3,deployed_policy_equals_evaluated_policy,implied,runtime loads rl/checkpoints/seed_123 (sha 2ab8d514...) != paper3 seed_123 (sha 299437ea...),MISMATCH,agents/strategy/hybrid_orchestrator.py:170,
Cross-paper,frozen_commit_b7cad49_full_sha,b7cad49b6b7a54460f4eeb4ecb0292bfcb78e12f,b7cad49529c335317ad284dba700f770d1964f6a,MISMATCH,research/CLAUDE_HANDOFF/CANONICAL_SCIENTIFIC_TRUTH.md;FINAL_RESEARCH_MANIFEST.*,Tag v1.0-paper3-complete -> b7cad49 (annotated tag verified); doc long SHA does not exist
Cross-paper,frozen_commit_375f4f8_full_sha,375f4f869c47907d7c222d27df3b4f9e09dc8941,375f4f869c47907d7c222d27df3b4f9e09dc8941,MATCH,git,But results/paper1..3 first enter git at b7cad49 (not 375f4f8); rl/guardrails.py and 173 lines of rl/agents code postdate 375f4f8
