priority,paper,problem,evidence,recommended_fix,change_type,rerun_required,documentation_only,affects_research,status
P1,Paper 3,Train/eval mismatch: training env T=15 steps continuous difficulty (step 0.1) random start; evaluation loop T=10 integer difficulty (step 1) fixed start 3,interview_env.py vs execute_paper3_study.py; training logs ~29% Harder vs eval raw Harder 0-8%,Disclose; any re-evaluation in the true env requires approval,E,Yes,No,Yes,OPEN
P1,Paper 3,Reward is oracle-imitation (weight 0.60) and guardrails G4/G5 restate oracle rules R1/R5; tracking error vs persona targets is not the training objective,interview_env.py oracle_action_from_obs and reward; persona targets are author-defined constants,Frame as imitation of a rule-based oracle with a rule-based safety shield in a simulator; drop implied optimisation of tracking,C/E,No,Yes,Yes,OPEN
P1,Paper 3,Statistical unit: 25 sessions = 5 personas x 5 seeds; Fixed has 4 unique values; persona-level paired t p=0.204,replay,Report persona-level analysis alongside session-level; state p=0.001 (not <0.001) with pseudo-replication caveat,C,No,Yes,Yes,OPEN
P1,Paper 3,Dimension-4 mechanism only partially supported,raw zero-progress MAE 0.804 -> 0.956 (23/250 raw actions differ); guarded final actions identical 250/250,Reword: equality arises after guardrail masking of a near-constant policy; do not claim policy insensitivity to s4,C,No,Yes,Yes,OPEN
P1,Paper 3,Sensitivity narrative (Section 5) contradicts stored sweep,paper3_sensitivity_results.csv shows only avg_perf and difficulty affect action at the neutral point,Remove causal/directional modulation statements for confidence/hesitation/progress,C,No,Yes,Yes,OPEN
P1,Paper 3,Frozen ablation CSV rows for 'Safety Shield' use a leaked loop variable (interv 112 osc 0.187 viol 46/0),script lines 761-775 vs replay,Publish an errata addendum listing corrected values (563/0.160/232); keep frozen CSV untouched,C,No,Yes,Yes,OPEN
P1,Paper 1,'Warm evaluator mean 1960.8 ms' is contaminated by one ~32 s cold-start sample (inferred),median 404.6; p95 2098.6; p99 26369; n=20 identical input; paper1_summary_results.csv says ~40-60 ms; report exec summary says 3.2 to 11.4 ms P95 concurrency,Report median/percentiles with cold vs warm separated; resolve three inconsistent latency statements before drafting,C (plus optional re-measure with approval),Optional,Yes,Yes,OPEN
P1,Paper 1,Security-suite pass oracle is weak,passed = status in {timeout runtime_error compilation_error sandbox_error wrong_answer accepted}; expected_outcome not compared; SEC-06 SEC-02 SEC-07 SEC-08 observed 'wrong_answer'/'timeout' rather than the named defence,Word as 'nine attack programs did not compromise the host in this harness'; do not attribute each outcome to a specific defence layer,C,No,Yes,Yes,OPEN
P1,Paper 1/2,Transcript hedging words (maybe/not sure/guess/umm/uh) reduce the technical score when content is weak (evaluator app.py 244-252),app.py lines 244-252,Correct 'acoustic insulation' wording to 'acoustic signal features never reach the evaluator; a small lexical hedging penalty applies to the transcript'; consider a fairness note (no accent/demographic claims),C,No,Yes,Yes (wording; behaviour unchanged),OPEN
P1,Cross-paper,Handoff/canonical provenance defects,Full SHA for b7cad49 in docs does not exist (real b7cad49529c3...); results for Papers 1-3 first appear at b7cad49 not 375f4f8; Paper 3 code (rl/guardrails.py env edits) postdates 375f4f8; training_meta.json git_commit is a hard-coded string,Add corrected provenance note; cite tag v1.0-paper3-complete,C,No,Yes,No,OPEN
P1,Cross-paper,Authority conflict between two CANONICAL_SCIENTIFIC_TRUTH files,research/CANONICAL_SCIENTIFIC_TRUTH.md (root; declared sole authority in CLAUDE.md) still lists rho 0.6975 N=20; CLAUDE_HANDOFF copy lists 0.3812 N=64,USER DECISION REQUIRED: designate the handoff copy authoritative and update CLAUDE.md (root file is frozen: add supersession note in a new file),C,No,Yes,No,OPEN
P1,Paper 3,Deployed runtime PPO differs from evaluated PPO,hybrid_orchestrator.py loads rl/checkpoints/seed_123 (sha 2ab8d514...) vs Paper 3 seed_123 (sha 299437ea...),State which policy the paper evaluates; do not imply the demo runs the Paper 3 checkpoint,C (or E if re-pointing runtime),No,Yes,Yes (system-paper linkage),OPEN
P2,Paper 1,Regression-count provenance ('214 collected; 1 skipped') not found in stored reports,post_p1_regression_tests.md says 213/213/0 skipped; current collection 226,Cite a dated run log; re-run the full suite when approved,C,Optional,Yes,No,OPEN
P2,Paper 2,adjudication_required is 'false' for all 64 rows including the 10 adjudicated,final_human_gold.csv,Explain field semantics in the dataset README (do not edit frozen gold),C,No,Yes,No,OPEN
P2,Repo,guardrails.py docstring claims G2 'Easier if hes>0.85' and a boundary clamp that the code does not implement,rl/guardrails.py lines 13 and 16,Fix docstring (behaviour unchanged) after user approval,D,No,Yes,No,OPEN
P2,Repo,CLAUDE.md is stale (says human evidence = 1 rater N=20 rho 0.6975; evaluator formula fine),CLAUDE.md,Update via claude-md-management after user review,C,No,Yes,No,OPEN
P2,Repo,Frontend/UX: only 8 files use aria/role attributes; two vitest files (20 tests) cover layout,apps/web/src,Accessibility pass (labels for waveform/recorder/score ring; live-region for feedback and retry states); explicit infrastructure-failure message state in UI,B,No,No,No,OPEN
P2,Repo,Experiment tracking not wired for new experiments,W&B installed and importable; nothing logged,Use wandb.integration.sb3 only for NEW runs with config seed git commit dataset hash; do not retrofit frozen runs,C/E,Yes (new runs only),No,No,OPEN
P3,Paper 2,Add a second-domain or larger benchmark with independent question authors,8 questions only,Future work,E,Yes,No,Yes,OPEN
P3,Paper 3,Human-in-the-loop validation of difficulty adaptation,Simulation-only,Future work,E,Yes,No,Yes,OPEN
P3,Paper 1,Firecracker/gVisor comparison for stronger isolation; PostgreSQL scaling test,Docker shares host kernel; SQLite single host,Future work,E,Yes,No,No,OPEN
