paper,claim,evidence_artifact,metric/result,scope,limitation,status
Paper 2,CrossEncoder reasoning entailment is strongest individual component,research/results/paper2/paper2_ablation_results.csv,R-only rho = 0.4832 vs S1 rho = 0.2070 and S2 rho = 0.3021,7-way ablation evaluated on identical 64-case human gold benchmark,R-only lacks explicit rubric concept coverage and keyword dampening,SUPPORTED
Paper 2,Full composite evaluator outperforms R-only in rank correlation,research/results/paper2/paper2_ablation_results.csv,Full composite rho = 0.3812 vs R-only rho = 0.4832 (diff = -0.1020),Ablation comparison on 64 human gold benchmark cases,Full composite trades raw rank correlation for keyword defense and rubric constraints,NOT_SUPPORTED
Paper 2,Evaluator resists semantic and syntactic metamorphic perturbations,research/results/paper2/paper2_metamorphic_results.csv,19/21 (90.5%) metamorphic transformation tests passed,7 metamorphic relations (MG-1 to MG-7) across 3 benchmark cases,Repetitive keyword injection in META-02 and META-03 exceeded 0.50 ceiling,SUPPORTED_WITH_LIMITATION
Paper 2,Evaluator and ScoreValidator contain adversarial prompt injections,research/results/paper2/paper2_adversarial_results.csv,11/13 (84.6%) adversarial attack vectors contained below safety ceilings,13 distinct attack patterns spanning override/stuffing/jargon/contradiction,Subtle contradiction (ADV-10: 0.4617) and negation (ADV-11: 0.4328) breached ceilings,SUPPORTED_WITH_LIMITATION
Paper 2,CrossEncoder model was fine-tuned specifically for PREPAIred,None,N/A,Interview-specific training loss or domain adaptation,Refuted; model is off-the-shelf ms-marco-MiniLM-L6-v2 in zero-shot inference,NOT_SUPPORTED
Paper 2,Universal robustness against all adversarial answer manipulations,None,N/A,All conceivable obfuscated or deceptive natural language attacks,Refuted; metamorphic and adversarial suites represent finite engineering evidence,NOT_SUPPORTED
Paper 3,PPO with guardrails reduces tracking error vs fixed difficulty,research/results/paper3/paper3_baseline_results.csv,PPO+Guardrails MAE = 0.677 +/- 0.006 vs Fixed MAE = 1.200 (Cohen d approx 0.87),5 simulated candidate personas across 5 eval seeds (N=25 sessions/condition),Evaluated in synthetic persona simulator; not live human learners,SUPPORTED_WITH_LIMITATION
Paper 3,PPO achieves multi-seed training stability across initializations,research/results/paper3/paper3_seed_results.csv,Mean MAE = 0.677; SD across 5 training seeds = 0.006 (Seeds 42/123/456/789/999),5 independent training runs evaluated across identical 25-session test suite,Demonstrates optimization reproducibility; not asymptotic global optimality,SUPPORTED_WITH_LIMITATION
Paper 3,PPO outperforms deterministic heuristic baseline on tracking speed,research/results/paper3/paper3_baseline_results.csv,Heuristic MAE = 0.473 vs PPO+Guardrails MAE = 0.677,Comparison across 25 session trajectories per condition,Heuristic achieves faster tracking; PPO achieves lower volatility (0.088 vs 0.160),NOT_SUPPORTED
Paper 3,Post-hoc guardrails eliminate out-of-bounds difficulty transitions,research/results/paper3/paper3_guardrail_results.csv,0 actual out-of-bounds transitions; 563 guardrail interventions across 5 seeds,Full multi-seed evaluation trajectories (125 total sessions),Pre-clipping proposed actions reach boundaries when candidates fail at min difficulty,SUPPORTED_WITH_LIMITATION
Paper 3,State Dimension 4 formulation impacts aggregate tracking error,research/results/paper3/paper3_ablation_results.csv,aligned_progress = aligned_response_time = zero_progress = 0.673 MAE,Dimension 4 formulation ablation across 25 evaluation sessions,s4 has low policy sensitivity in neutral coordinates; guardrails override remaining differences,NOT_SUPPORTED
Paper 3,RL training curves demonstrate action stabilization and reward plateauing,research/results/paper3/paper3_convergence_results.csv,Rolling mean rewards plateau and action distributions stabilize within 20k steps,Step-level training logs across all 5 seeds (24576 timesteps/seed),Empirical stabilization within training budget; not theoretical convergence proof,SUPPORTED_WITH_LIMITATION
Paper 3,Adaptive RL improves human candidate technical learning gains,None,N/A,Longitudinal computing education classroom or interview study,Refuted; study conducted exclusively on simulated personas,NOT_SUPPORTED
Paper 3,Acoustic prosody causally determines optimal difficulty transitions,research/results/paper3/paper3_sensitivity_results.csv,Speech features modulate pacing guardrails; zero scoring authority,Controlled coordinate sensitivity sweeps around neutral operating point,Observational sensitivity sweep; not randomized causal inference,SUPPORTED_WITH_LIMITATION
