term_or_claim,file,classification,current_truth,recommended_action
'pre-registered',docs/PREPAIRED_COMPLETE_BOOKLET.md; docs/paper_draft_ieee.md; research/papers/archived/*,SUPERSEDED,'pre-specified and frozen before human annotation' (tag pre-human-annotation 45845a9),Do not use 'pre-registered'
'Zone of Proximal Development',docs/PREPAIRED_COMPLETE_BOOKLET.md; docs/PREPAIRED_HOLY_GRAIL.md; research/papers/archived/*,SUPERSEDED,'score-band stabilization',Do not use
'100% fault tolerant' / 'fault-tolerant' phrases,research/CLAUDE_HANDOFF/README.md; MANUSCRIPT_AUTHORING_GUIDELINES.md,CURRENT_VALID (appears in prohibitions),Finite-scope wording,None
'100% secure' / 'inviolable',research/audit/*; CLAUDE_HANDOFF/PAPER1_FINAL_REPORT.md,CURRENT_VALID (appears in prohibitions),Defense-in-depth wording,None
Paper 1 latency: 'warm evaluator ~40-60 ms',research/results/paper1/paper1_summary_results.csv (and handoff copy),INCORRECT,median 404.6 ms; mean 1960.8 ms contaminated by cold start,Do not cite
Paper 1 latency: 'write latencies 3.2 ms to 11.4 ms P95 (25 sessions)',research/results/paper1/PAPER1_FINAL_REPORT.md line 19,INCORRECT,Report table: 16.3 ms (1 session) to 719.1 ms P95 (25 sessions); single-thread write P95 21.0 ms,Reconcile
'21.0 ms P95 (25 sessions)' concurrency write latency,research/CLAUDE_HANDOFF/CANONICAL_SCIENTIFIC_TRUTH.md; FINAL_RESEARCH_MANIFEST.*,AMBIGUOUS,21.0 ms is the single-thread SQLite write benchmark (n=25 writes),Relabel
'10 DSA topics',CLAUDE_HANDOFF/CANONICAL_SCIENTIFIC_TRUTH.md; MANUSCRIPT_AUTHORING_GUIDELINES.md; claim matrix,INCORRECT,8 topics / 8 questions,Correct
'authentic explanations' (N=64),CLAUDE_HANDOFF docs,AMBIGUOUS,Cases are constructed per category (concise_correct; keyword_stuffed; verbose_wrong ...) by the study authors,Use 'constructed benchmark answers' unless provenance shows student-authored text
'Frozen commit b7cad49b6b7a54460f4eeb4ecb0292bfcb78e12f',research/CLAUDE_HANDOFF/CANONICAL_SCIENTIFIC_TRUTH.md; FINAL_RESEARCH_MANIFEST.*,INCORRECT (nonexistent long SHA),b7cad49529c335317ad284dba700f770d1964f6a,Correct in a new provenance note
'Git commit 375f4f8' for Paper 3 training,research/experiments/paper3/checkpoints/*/training_meta.json; paper3_raw_results.json,INCORRECT/AMBIGUOUS,Hard-coded string; guardrails.py and env edits are first committed in b7cad49,Cite b7cad49
'Human evidence is 1 rater N=20 rho 0.6975',CLAUDE.md,STALE,3 raters + adjudication N=64 (handoff),Update CLAUDE.md after review
'204800 PPO steps',research/CLAUDE_HANDOFF/CANONICAL_SCIENTIFIC_TRUTH.md section F,HISTORICAL,24576 steps/seed,Kept as explained
'bitwise reproducible',research/results/paper3/PAPER3_FINAL_REPORT.md section 6,AMBIGUOUS,Evaluation replay matched all reported numbers exactly on this machine; training not re-run; numpy 2.5.2/torch 2.11 violate pinned requirements,Say 'evaluation replay reproduced reported values'
'PPO superiority' phrases,docs/RL_DESIGN.md; docs/stage19_publication_audit.md,SUPERSEDED,No superiority claim,Do not reuse
'educational effectiveness' / 'learning gain',docs/CLAIMS_CHECK.md; docs/paper_draft_ieee.md,SUPERSEDED,Simulation only,Do not reuse
'fairness / accent' language,research/audit/speech_claim_audit.md; PAPER1_FINAL_REPORT.md,CURRENT_VALID (as disclaimers),No fairness claim made,Keep disclaimers
